date,sales
2025-01-01,201.95221792536813
2025-01-02,193.14311572882448
2025-01-03,203.59265858699297
2025-01-04,194.71749069068198
2025-01-05,229.00651069364804
2025-01-06,204.00178598767943
2025-01-07,212.02879440203918
2025-01-08,223.34020696404033
2025-01-09,215.3132696521368
2025-01-10,239.5708410759324
2025-01-11,211.8442567381132
2025-01-12,232.00615504972842
2025-01-13,231.42593134940262
2025-01-14,220.7028496037441
2025-01-15,239.14814088470987
2025-01-16,233.40093394929266
2025-01-17,247.51653999312464
2025-01-18,247.61820122932787
2025-01-19,262.1547222874501
2025-01-20,251.525355071102
2025-01-21,794.53250712434
2025-01-22,230.46817013979765
2025-01-23,246.65186647100657
2025-01-24,240.1814127581421
2025-01-25,247.03935458385484
2025-01-26,220.3053818559743
2025-01-27,236.56895660699763
2025-01-28,229.0703572088526
2025-01-29,244.04824993441724
2025-01-30,244.8755763572561
2025-01-31,255.6237116117024
2025-02-01,251.02859224149603
2025-02-02,253.25633246778239
2025-02-03,234.98647247466144
2025-02-04,229.36246443485987
2025-02-05,235.37547696932884
2025-02-06,243.1966418049231
2025-02-07,250.96550284544153
2025-02-08,268.8050945445754
2025-02-09,245.08252526933444
2025-02-10,232.9999878858118
2025-02-11,235.03956632220883
2025-02-12,228.9446137608667
2025-02-13,244.44771443075763
2025-02-14,222.8959730033218
2025-02-15,237.8223401849378
2025-02-16,235.19639954243846
2025-02-17,238.4856155922832
2025-02-18,225.54895099795294
2025-02-19,228.7046735496046
2025-02-20,214.35688207355832
2025-02-21,225.0249998233395
2025-02-22,223.19716848408765
2025-02-23,229.44438715450184
2025-02-24,213.83751568865247
2025-02-25,234.69631663556277
2025-02-26,242.22873273052605
2025-02-27,207.6914527286964
2025-02-28,230.95092400556985
2025-03-01,232.56919355012985
2025-03-02,217.60836160097728
2025-03-03,219.13135422858994
2025-03-04,219.53582774987498
2025-03-05,212.90787692473225
2025-03-06,213.52793445503957
2025-03-07,198.85268327358625
2025-03-08,222.44544194381908
2025-03-09,223.30665898293339
2025-03-10,201.85493537737344
2025-03-11,195.68017087877874
2025-03-12,217.94233460786407
2025-03-13,207.56075487747805
2025-03-14,218.35636826244644
2025-03-15,210.2390749967267
2025-03-16,221.75477160241218
2025-03-17,219.93244525544944
2025-03-18,203.3165885867079
2025-03-19,195.20237382309995
2025-03-20,192.47197180731754
2025-03-21,214.77364559842965
2025-03-22,193.48580970716725
2025-03-23,203.20871820288323
2025-03-24,203.91072868055642
2025-03-25,204.93946504353434
2025-03-26,190.76709652915153
2025-03-27,217.90534808364666
2025-03-28,224.99281106752935
2025-03-29,220.29834719219687
2025-03-30,213.29300674023392
2025-03-31,220.73922530069987
2025-04-01,222.74615625349378
2025-04-02,194.89710044397327
2025-04-03,243.0069760249773
2025-04-04,230.47870327880077
2025-04-05,221.3227834195745
2025-04-06,45.25141099922891
2025-04-07,235.33550658367488
2025-04-08,234.79466090155685
2025-04-09,216.22959189219642
2025-04-10,258.58733327393867
2025-04-11,242.6864501791895
2025-04-12,250.15030668524489
2025-04-13,229.41662609478578
2025-04-14,254.80908523956174
2025-04-15,238.98938137068404
2025-04-16,248.24524638346364
2025-04-17,230.66341743496037
2025-04-18,251.18503955893465
2025-04-19,251.94059438689666
2025-04-20,262.70241941150204
2025-04-21,249.20575840071595
2025-04-22,253.59449678735
2025-04-23,279.0602578936332
2025-04-24,251.35112754887544
2025-04-25,259.98777865645354
2025-04-26,275.3235584766529
2025-04-27,267.9736504310958
2025-04-28,272.5609072722076
2025-04-29,264.7791182930842
2025-04-30,275.4407874788877
2025-05-01,260.00423667652626
2025-05-02,286.55260961830874
2025-05-03,269.88437689345926
2025-05-04,268.4433929948376
2025-05-05,280.02530227593115
2025-05-06,268.50536996074345
2025-05-07,258.66452246543656
2025-05-08,264.2877233069265
2025-05-09,286.9095141628407
2025-05-10,279.7984337632001
2025-05-11,277.9474043246424
2025-05-12,291.8796055549649
2025-05-13,268.01091142566264
2025-05-14,272.2678836594049
2025-05-15,274.0183248611038
2025-05-16,281.03993873092674
2025-05-17,281.60448077469505
2025-05-18,278.7324270969678
2025-05-19,282.37305513789534
2025-05-20,278.83708186974854
2025-05-21,268.4403179690255
2025-05-22,269.0246070727963
2025-05-23,280.59972102169405
2025-05-24,271.0505009251757
2025-05-25,275.7355334878143
2025-05-26,287.2196020294371
2025-05-27,286.2273877027234
2025-05-28,313.92234170163124
2025-05-29,280.5603817385523
2025-05-30,295.8552379323654
2025-05-31,1175.5591568349716
2025-06-01,279.8684844796073
2025-06-02,297.4561993395253
2025-06-03,275.6055475475891
2025-06-04,260.75727399627857
2025-06-05,291.62175676075344
2025-06-06,271.579563449102
2025-06-07,290.6080193764481
2025-06-08,276.0161598237835
2025-06-09,298.338316628821
2025-06-10,291.1338053080055
2025-06-11,281.9034494377825
2025-06-12,282.6071937867868
2025-06-13,277.807449590288
2025-06-14,282.0626907418128
2025-06-15,286.40145104209824
2025-06-16,282.7574245078578
2025-06-17,283.5370852141655
2025-06-18,291.5193510157875
2025-06-19,290.381508444205
2025-06-20,282.2061011065513
2025-06-21,276.62580856642904
2025-06-22,307.4195336211776
2025-06-23,285.126646514753
2025-06-24,282.59547383554883
2025-06-25,286.1513002667328
2025-06-26,270.7222688956559
2025-06-27,282.50457502356693
2025-06-28,281.3211594133403
2025-06-29,292.5737380139301
